time,x,xhat,dx
1317220910,617.836,547.110307389,-4.22356238515
1317221209,610.843,546.284557753,-4.05367174765
1317221510,930.53,561.645841705,-3.08292396267
1317221811,649.805,563.125021856,-2.85481875703
1317222110,514.937,558.003542944,-2.96815176477
1317222408,1036.93,579.13012162,-1.76341524272
1317222710,812.146,589.105671058,-1.17646700866
1317223010,629.325,589.998993847,-1.07297751879
1317223310,619.334,590.446415512,-0.996957559607
1317223610,674.281,593.691035055,-0.784878704488
1317223912,664.79,596.500348533,-0.605169095363
1317224210,656.298,598.915320465,-0.454162043957
1317224508,656.298,601.3530005,-0.309569940011
1317224808,664.291,604.205809032,-0.151451016412
1317225109,858.601,616.781690115,0.484915588548
1317225409,656.298,619.218175419,0.582494074289
1317225710,519.932,614.807236018,0.332822400557
1317226011,652.802,617.023155498,0.42697725451
1317226308,539.912,613.573226115,0.233131922629
1317226609,515.936,608.912840135,-0.0115439724646
1317226908,1628.35,659.873731355,2.53707778713
1317227209,1227.74,690.677268685,3.95040076427
1317227510,825.133,701.152935977,4.27666409065
1317227808,1386.58,739.487120064,5.97954009048
1317228110,831.127,749.749677147,6.1936909401
1317228410,602.351,748.263749683,5.80971001988
1317228708,738.718,753.305686717,5.77132137062
1317229009,864.595,764.352907683,6.0351163504
1317229309,529.922,758.364722832,5.43395129032
1317229609,545.407,752.879090416,4.88797210501
1317229909,622.332,750.995309395,4.54938444871
1317230208,1876.11,811.572959152,7.3507977141
1317230508,838.121,819.883619023,7.39879082193
1317230809,1874.61,879.648789352,10.0171097973
1317231111,909.051,890.635154192,10.0655725494
1317231407,1027.44,907.037690405,10.3824207326
1317231708,702.253,906.66175558,9.84450295475
1317232009,511.939,896.277895608,8.83308480841
1317232308,1745.23,947.116931396,10.9333823574
1317232607,891.568,954.726198066,10.767176573
1317232908,640.813,949.259355907,9.95547563639
1317233207,1873.61,1004.93458997,12.2414635575
1317233508,984.977,1015.56610085,12.1609659237
1317233808,1129.84,1032.83271343,12.4162482568
1317234108,1089.38,1047.4555136,12.5265758526
1317234409,1454.52,1079.70898498,13.5129206289
1317234707,1354.12,1106.26681033,14.1651658649
1317235008,1188.78,1123.84937739,14.3360359244
1317235309,906.554,1126.60384265,13.7569573911
1317235608,790.167,1122.85111004,12.881472891
1317235908,869.59,1122.42545378,12.2161164337
1317236208,865.094,1121.1641917,11.5422475082
1317236508,591.861,1105.66416725,10.1901339101
1317236808,580.373,1089.0802361,8.85143065725
1317237108,644.81,1075.27558342,7.71862649034
1317237407,747.709,1066.22994942,6.88041346556
1317237708,775.682,1058.23894474,6.13684255836
1317238008,754.702,1048.89209793,5.36265809011
1317238307,710.745,1037.07926822,4.50388370006
1317238607,756.201,1027.31404433,3.79042832026
1317238907,610.343,1010.06639901,2.73852463864
1317239208,512.439,987.786627469,1.48760982951
1317239508,573.879,968.504475434,0.449121736266
1317239807,489.961,945.003967311,-0.748359756658
1317240107,460.989,920.092277177,-1.95652627555
1317240407,478.972,896.177563356,-3.0544356528
1317240706,460.989,871.516421318,-4.13477097206
1317241007,609.844,854.504767829,-4.77861509792
1317241307,563.389,835.409295095,-5.49445797975
1317241607,951.51,835.994595259,-5.19047007254
1317241907,667.787,822.653268927,-5.59801288551
1317242207,667.288,809.56689324,-5.97243102561
1317242506,984.977,812.663589103,-5.51897468114
1317242807,683.771,800.975933701,-5.8274087172
1317243106,959.002,803.341198735,-5.41777502966
1317243410,895.564,802.80545252,-5.17367358892
1317243707,686.269,792.063639984,-5.45208053625
1317244007,622.831,778.422531476,-5.86153193487
1317244306,932.528,780.559349564,-5.46161443372
1317244606,714.242,772.054948374,-5.61375377155
1317244906,688.267,762.532484872,-5.80918925805
1317245207,615.838,749.679030833,-6.16140249709
1317245506,565.887,734.636096919,-6.60547906793
1317245806,509.442,717.101186959,-7.15195061255
1317246107,618.835,705.393524529,-7.37973620342
1317246406,761.196,701.172898909,-7.22178067423
1317246705,1352.62,726.884562323,-5.57510846982
1317247007,783.174,724.402681161,-5.42044710445
1317247307,1101.36,738.101122353,-4.4645026896
1317247606,555.397,724.724638681,-4.91010173875
1317247907,614.339,714.540760095,-5.17379058111
1317248206,1259.71,736.884121038,-3.79793300489
1317248506,588.864,725.875078631,-4.15848847498
1317248806,596.357,715.448610649,-4.47188745037
1317249106,1101.36,730.495887038,-3.49592925836
1317249406,704.751,725.887509891,-3.55155165281
1317249706,518.933,712.165810326,-4.06005904841
1317250006,477.973,696.599113714,-4.6353909266
1317250306,487.463,681.738686648,-5.14664273357
1317250606,570.882,671.306541719,-5.41091784336
1317250905,911.549,678.178292682,-4.79678440305
